study_accession	host_species	host_tax_id	body_site	country	n_samples	library_strategy	data_source	pmid	pmid_str	paper_title	first_author	last_author	host_class	abstract	pub_year	journal
PRJNA590585	plateau pika01			China:Qinghai,Gangcha	12	WGA	pubmed	33369229.0	33369229	Environment and host species identity shape gut microbiota diversity in sympatric herbivorous mammals.	Fu H	Zhang Y	Mammalia	The previous studies have reported that the mammalian gut microbiota is a physiological consequence; nonetheless, the factors influencing its composition and function remain unclear. In this study, to evaluate the contributions of the host and environment to the gut microbiota, we conducted a sequencing analysis of 16S rDNA and shotgun metagenomic DNA from plateau pikas and yaks, two sympatric herbivorous mammals, and further compared the sequences in summer and winter. The results revealed that both pikas and yaks harboured considerably more distinct communities between summer and winter. We detected the over-representation of Verrucomicrobia and Proteobacteria in pikas, and Archaea and Bacteroidetes in yaks. Firmicutes and Actinobacteria, associated with energy-efficient acquisition, significantly enriched in winter. The diversity of the microbial community was determined by the interactive effects between the host and season. Metagenomic analysis revealed that methane-metabolism-related pathway of yaks was significantly enriched in summer, while some pathogenic pathways were more abundant in pikas. Both pikas and yaks had a higher capacity for lipid degradation in winter. Pika and yak shared more OTUs when food shortage occurred in winter, and this caused a convergence in gut microbial composition and function. From winter to summer, the network module number increased from one to five in pikas, which was different in yaks. Our study demonstrates that the host is a dominant factor in shaping the microbial communities and that seasonality promotes divergence or convergence based on dietary quality across host species identity.		Microbial biotechnology
PRJNA728379	feces metagenome			China:Fujian	14	WGS	ena_only									
PRJNA738554	C57BL/6 mouse			China:Beijing	24	WGS	ena_only									
PRJNA1000186	Homo sapiens	9606.0		Canada:Alberta,Edmonton	413	AMPLICON	pubmed	39244633.0	39244633							
PRJNA1268041	Sus scrofa	9823.0		China:Nanning	16	WGS	ena_only									
PRJNA721002	feces metagenome			China:Guangdong,Guangzhou	51	WGS	pubmed	38868570.0	38868570							
PRJDB36556	Corvus macrorhynchos	36249.0		missing: data agreement established pre-2023	7	WGS	ena_only									
PRJNA1060362	fish gut metagenome			China	1	WGS	ena_only									
PRJDB15857	Mus musculus	10090.0		Japan:Shizuoka, Mishima, National Institute of Genetics, Animal Research Building	80	WGS	ena_only									
PRJNA1247133	mice				10	AMPLICON	pubmed	40977701.0	40977701							
PRJNA740243	Homo sapiens	9606.0		Italy: Milan	281	AMPLICON	pubmed	36288294.0	36288294	Microbial Dysregulation of the Gut-Lung Axis in Bronchiectasis.	Narayana JK	Chotirmall SH	Mammalia	"Rationale: Emerging data support the existence of a microbial ""gut-lung"" axis that remains unexplored in bronchiectasis. Methods: Prospective and concurrent sampling of gut (stool) and lung (sputum) was performed in a cohort of n = 57 individuals with bronchiectasis and subjected to bacteriome (16S rRNA) and mycobiome (18S Internal Transcribed Spacer) sequencing (total, 228 microbiomes). Shotgun metagenomics was performed in a subset (n = 15; 30 microbiomes). Data from gut and lung compartments were integrated by weighted similarity network fusion, clustered, and subjected to co-occurrence analysis to evaluate gut-lung networks. Murine experiments were undertaken to validate specific Pseudomonas-driven gut-lung interactions. Results: Microbial communities in stable bronchiectasis demonstrate a significant gut-lung interaction. Multibiome integration followed by unsupervised clustering reveals two patient clusters, differing by gut-lung interactions and with contrasting clinical phenotypes. A high gut-lung interaction cluster, characterized by lung Pseudomonas, gut Bacteroides, and gut Saccharomyces, is associated with increased exacerbations and greater radiological and overall bronchiectasis severity, whereas the low gut-lung interaction cluster demonstrates an overrepresentation of lung commensals, including Prevotella, Fusobacterium, and Porphyromonas with gut Candida. The lung Pseudomonas-gut Bacteroides relationship, observed in the high gut-lung interaction bronchiectasis cluster, was validated in a murine model of lung Pseudomonas aeruginosa infection. This interaction was abrogated after antibiotic (imipenem) pretreatment in mice confirming the relevance and therapeutic potential of targeting the gut microbiome to influence the gut-lung axis. Metagenomics in a subset of individuals with bronchiectasis corroborated our findings from targeted analyses. Conclusions: A dysregulated gut-lung axis, driven by lung Pseudomonas, associates with poorer clinical outcomes in bronchiectasis."		American journal of respiratory and critical care medicine
PRJNA558220	Mus musculus	10090.0		Spain:Oviedo	26	RNA-Seq	pubmed	35002754.0	35002754							
PRJEB61541	Sus scrofa				69	OTHER	pubmed	37280708.0	37280708	Cefquinome shows a higher impact on the pig gut microbiome and resistome compared to ceftiofur.	Rutjens S	Devreese M	Mammalia	Cephalosporins are licensed for treatment of severe bacterial infections in different species. However, the effect of these antimicrobials on the fecal microbiome and potential spread of resistance-associated genes causes great concern. This highlights the need to understand the impact of cephalosporins on the porcine fecal microbiome and resistome. A combination of long-read 16S rRNA gene and shotgun metagenomic sequencing was applied to investigate the effect of conventional treatment with either ceftiofur (3 mg.kg-1 intramuscular, 3 consecutive days) or cefquinome (2 mg.kg-1 intramuscular, 5 consecutive days) on the porcine microbiome and resistome. Fecal samples were collected from 17 pigs (6 ceftiofur treated, 6 cefquinome treated, 5 control pigs) at four different timepoints. Treatment with ceftiofur resulted in an increase in Proteobacteria members on microbiome level, while on resistome level selection in TetQ containing Bacteroides, CfxA6 containing Prevotella and blaTEM-1 containing Escherichia coli was observed. Cefquinome treatment resulted in a decline in overall species richness (α-diversity) and increase in Proteobacteria members. On genus level, administration of cefquinome significantly affected more genera than ceftiofur (18 vs 8). On resistome level, cefquinome resulted in a significant increase of six antimicrobial resistance genes, with no clear correlation with certain genera. For both antimicrobials, the resistome levels returned back to the control levels 21 days post-treatment. Overall, our study provides novel insights on the effect of specific cephalosporins on the porcine gut microbiome and resistome after conventional intramuscular treatment. These results might contribute to better tailoring of the most ideal treatment strategy for some bacterial infections.		Veterinary research
PRJNA1136021	Mus musculus	10090.0		USA:TX	60	AMPLICON	pubmed	39269772.0	39269772							
PRJEB72437				Germany	8	WGS	ena_only									
PRJNA1211300	Homo sapiens	9606.0		China: Shenzhen	17	WGS	pubmed	41005300.0	41005300							
PRJDB39230	Equus hemionus	9794.0		missing: data agreement established pre-2023	19	WGS	ena_only									
PRJNA1188079	cow			China:Shanxi	848	AMPLICON	pubmed	40671160.0	40671160							
PRJEB61039					115	AMPLICON	ena_only									
PRJNA773596	Homo sapiens	9606.0		China:Hohhot	83	WGS	ena_only									
PRJDB3601	Homo sapiens	9606.0			255	WGS	ena_only									
PRJNA973216	BALB/c mice			China:Hunan,Changsha	12	AMPLICON	pubmed	38441977.0	38441977							
PRJEB22710					52	WGS	ena_only									
PRJNA601052	Leghorn chicken			USA: Wooster, Ohio	130	WGS	ena_only									
PRJEB76409	Mus musculus			USA;USA:CA	32	WGS	ena_only									
PRJNA844176	Sus scrofa	9823.0		China: Sichuan	15	WGS	ena_only									
PRJEB26961	Sus scrofa domesticus	9825.0		Denmark	220	WGS	ena_only									
PRJEB40990	Salmo salar	8030.0		Norway	16	WGS	pubmed	33990699.0	33990699							
PRJNA590350	missing			missing	58	AMPLICON	pubmed	31880067.0	31880067							
PRJNA1104620	Equus caballus	9796.0		Canada: Sable Island, Nova Scotia	95	AMPLICON	pubmed	39039075.0	39039075	Methanogenic patterns in the gut microbiome are associated with survival in a population of feral horses.	Stothart MR	Poissant J	Mammalia	Gut microbiomes are widely hypothesised to influence host fitness and have been experimentally shown to affect host health and phenotypes under laboratory conditions. However, the extent to which they do so in free-living animal populations and the proximate mechanisms involved remain open questions. In this study, using long-term, individual-based life history and shallow shotgun metagenomic sequencing data (2394 fecal samples from 794 individuals collected between 2013-2019), we quantify relationships between gut microbiome variation and survival in a feral population of horses under natural food limitation (Sable Island, Canada), and test metagenome-derived predictions using short-chain fatty acid data. We report detailed evidence that variation in the gut microbiome is associated with a host fitness proxy in nature and outline hypotheses of pathogenesis and methanogenesis as key causal mechanisms which may underlie such patterns in feral horses, and perhaps, wild herbivores more generally.		Nature communications
PRJNA1179404	Sus scrofa	9823.0		China	8	RNA-Seq	pubmed	40565336.0	40565336	Dietary Bacillus velezensis Improves Piglet Intestinal Health and Antioxidant Capacity via Regulating the Gut Microbiota.	Ji L	Ma X	Mammalia	Piglet diarrhea caused by weaning stress will increase the mortality rate and seriously affect swine industry production efficiency. Probiotic supplementation has been reported to effectively alleviate weaning diarrhea by inhibiting the colonization of pathogenic microorganisms; however, the underlying mechanisms remain unclear. In this study, we isolated a strain of Bacillus velezensis and conducted a series of in vivo and in vitro experiments to explore its effects on weaned piglets. The piglets were fed for a 28-day period, and the results showed that dietary supplementation of B. velezensis 411 significantly alleviated weaning diarrhea (p = 0.019) and improved the average daily gain (ADG) of piglets throughout the experimental period (p = 0.004). The intestinal antioxidant capacity of piglets was also significantly enhanced. Whole-genome sequencing revealed that B. velezensis 411 contains a protein-encoding circular chromosome, which is involved in biological processes such as sporulation and antibiotic secretion. Supplementation with B. velezensis 411 significantly increased the abundance of Akkermansia in intestine samples and significantly decreased the abundance of pathogenic bacteria, including Escherichia coli and Staphylococcus aureus, in piglets (p < 0.05). The transcriptomic results suggest that B. velezensis 411 supplementation may alter the composition of intestinal microorganisms through regulating the expression of MPEG1. Collectively, dietary B. velezensis can relieve diarrhea in piglets and improve their production performance by influencing the antioxidant capacity of the intestines and the balance of the intestinal flora. This study provides valuable insights into the potential application of Bacillus velezensis in mitigating weaning-associated issues in piglets.		International journal of molecular sciences
